dataset,model,anom_fraction,PR-AUC,ROC-AUC,Max F1,Max F1 Precision,Max F1 Recall,runtime,subsample,lr,PR-AUC_std,ROC-AUC_std,Max F1_std,Max F1 Precision_std,Max F1 Recall_std,runtime_std,subsample_std,lr_std
covertype,DAE,0.05,0.8884194377944576,0.9868207191578946,0.8271726735687682,0.8644942873425487,0.79328,20.45948233604431,50000.0,0.02,0.02388282958019394,0.0029215298538550717,0.026260957027242328,0.04116278339000336,0.014403888363910652,1.2145910839297858,0.0,0.0
covertype,DAE,0.1,0.7827248157875438,0.956674456888889,0.7328199384386018,0.7348006923590321,0.7328,19.709744119644164,50000.0,0.02,0.0693251461267895,0.00734077817443124,0.04131995004361313,0.06891306280633455,0.021165538027652434,0.10779689486978991,0.0,0.0
covertype,HST,0.05,0.6438044269467473,0.9537043511578946,0.6185074065014072,0.6278254657773463,0.6148,5.450061178207397,50000.0,,0.11862017514897337,0.019999773093815034,0.0875671869815061,0.09864354363000287,0.09617026567499955,0.14174171716444178,0.0,
covertype,HST,0.1,0.5798286891372308,0.8842259506666666,0.5859214099002678,0.5893639860297014,0.5933200000000001,5.388270330429077,50000.0,,0.13677757722186046,0.03997571252929291,0.115408416639622,0.11367123994628603,0.1412744562898757,0.10994373570361968,0.0,
covertype,PW-AE,0.05,0.9354560781512797,0.9945458071578948,0.8799016006035385,0.885699629791586,0.8744799999999999,23.155678939819335,50000.0,0.1,0.03866995648626765,0.0034258131211505325,0.05100513853477817,0.052572392062433325,0.052858603840812875,2.4153032875968177,0.0,0.0
covertype,PW-AE,0.1,0.9463521503222057,0.9844916177777778,0.9059812362290041,0.940304573110389,0.87432,21.688139247894288,50000.0,0.1,0.008876232075961546,0.0023088642079569922,0.016367151837182882,0.02599433482180658,0.014351724635039552,0.07156748813825393,0.0,0.0
creditcard,DAE,0.05,0.8641110361832288,0.9797450122105265,0.8391352038235655,0.8663684932184836,0.8138400000000001,20.71218032836914,50000.0,0.02,0.009024024930438863,0.0024285065129298696,0.008164037468885102,0.011498020021278758,0.017180454010299048,0.11654972238943219,0.0,0.0
creditcard,DAE,0.1,0.8752520260930027,0.9641107333333334,0.8386181619291699,0.8739084099559271,0.8062000000000001,20.656675100326538,50000.0,0.02,0.007036226989060097,0.0021584218467283842,0.008245302060569549,0.010561977880027178,0.012901937838944982,0.08440280012338573,0.0,0.0
creditcard,HST,0.05,0.8004978996496886,0.9646385338947369,0.7489444081738919,0.7615910427856527,0.74048,5.926571607589722,50000.0,,0.03897833716236251,0.008021723808725905,0.02976389391012833,0.06799490041349468,0.029520704598637183,0.04095008039216896,0.0,
creditcard,HST,0.1,0.8527585511912532,0.9571394715555556,0.7774173667970145,0.8065633826996524,0.75096,5.974994421005249,50000.0,,0.0388562260393774,0.012863187960778396,0.04779157744844474,0.058132811063857516,0.045480853114250167,0.03746029899213664,0.0,
creditcard,PW-AE,0.05,0.9041199120424117,0.9857259115789473,0.8595842669422795,0.8719205349240445,0.84784,22.688222074508666,50000.0,0.1,0.005585316469420445,0.0014436262985871192,0.0044588564355428255,0.01144303810015264,0.013379387130956296,0.07551330897215161,0.0,0.0
creditcard,PW-AE,0.1,0.9143990279850251,0.9720307164444446,0.8686951026652178,0.8967524101362164,0.84252,22.592454385757446,50000.0,0.1,0.003296851953459098,0.0016459305444459082,0.0038803235675413136,0.00847694141011758,0.0125128733710527,0.14559351408091525,0.0,0.0
shuttle,DAE,0.05,0.9198508565627316,0.9826290404948888,0.9131932353965386,0.974604127336072,0.85944,18.65515270233154,50000.0,0.02,0.01857745850258716,0.002340233753013942,0.020744432527782422,0.00860858618175534,0.03299769688932853,0.06861367843457372,0.0,0.0
shuttle,DAE,0.1,0.8986933560053721,0.9778221253333333,0.8347645646586637,0.8568159770306967,0.81472,19.562605237960817,50000.0,0.02,0.022154098512729616,0.0028916104373884967,0.030015870214306455,0.05007616226060786,0.020132858714052494,0.14270437691902965,0.0,0.0
shuttle,HST,0.05,0.5822062913761743,0.9583067819067257,0.6884278098795741,0.6053716372666735,0.8099999999999999,5.065031242370606,50000.0,,0.2063323952475989,0.016154690570368682,0.13928273202763886,0.15723191970641226,0.13493316864285074,0.05223329771030455,0.0,
shuttle,HST,0.1,0.7740959337406557,0.9637865528888888,0.8275136851174626,0.7511778376343157,0.9284000000000001,5.244214773178101,50000.0,,0.10079470806139755,0.010315991827906821,0.06696838562703684,0.10226813294637294,0.010689246933250266,0.04291827108416151,0.0,
shuttle,PW-AE,0.05,0.9435744504041008,0.9850619312946958,0.9369735633079266,0.9836625194679106,0.8946400000000001,20.642567014694215,50000.0,0.1,0.008254280173287361,0.0011220497990056455,0.010174145020590069,0.006807265400304336,0.0168537236241728,0.06845379139269518,0.0,0.0
shuttle,PW-AE,0.1,0.9600300301548703,0.9865742524444446,0.9420665008349351,0.9766629421803081,0.90988,21.483796644210816,50000.0,0.1,0.004598851149550673,0.0008822825786037531,0.011183730314765326,0.008643606635632541,0.014614102777796503,0.12773864073526722,0.0,0.0
